Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type
3068,0.0024,0.17,16.12,Brown Dwarf
3042,0.0005,0.1542,16.6,Brown Dwarf
2600,0.0003,0.102,18.7,Brown Dwarf
2800,0.0002,0.16,16.65,Brown Dwarf
1939,0.000138,0.103,20.06,Brown Dwarf
2840,0.00065,0.11,16.98,Brown Dwarf
2637,0.00073,0.127,17.22,Brown Dwarf
2600,0.0004,0.096,17.4,Brown Dwarf
2650,0.00069,0.11,17.45,Brown Dwarf
2700,0.00018,0.13,16.05,Brown Dwarf
3600,0.0029,0.51,10.69,Red Dwarf
3129,0.0122,0.3761,11.79,Red Dwarf
3134,0.0004,0.196,13.21,Red Dwarf
3628,0.0055,0.393,10.48,Red Dwarf
2650,0.0006,0.14,11.782,Red Dwarf
3340,0.0038,0.24,13.07,Red Dwarf
2799,0.0018,0.16,14.79,Red Dwarf
3692,0.00367,0.47,10.8,Red Dwarf
3192,0.00362,0.1967,13.53,Red Dwarf
3441,0.039,0.351,11.18,Red Dwarf
25000,0.056,0.0084,10.58,White Dwarf
7740,0.00049,0.01234,14.02,White Dwarf
7220,0.00017,0.011,14.23,White Dwarf
8500,0.0005,0.01,14.5,White Dwarf
16500,0.013,0.014,11.89,White Dwarf
12990,8.5e-05,0.00984,12.23,White Dwarf
8570,0.00081,0.0097,14.2,White Dwarf
7700,0.00011,0.0128,14.47,White Dwarf
11790,0.00015,0.011,12.59,White Dwarf
7230,8e-05,0.013,14.08,White Dwarf
39000,204000.0,10.6,-4.7,Main Sequence
30000,28840.0,6.3,-4.2,Main Sequence
15276,1136.0,7.2,-1.97,Main Sequence
9700,74.0,2.89,0.16,Main Sequence
5800,0.81,0.9,5.05,Main Sequence
8052,8.7,1.8,2.42,Main Sequence
6757,1.43,1.12,2.41,Main Sequence
6380,1.35,0.98,2.93,Main Sequence
5936,1.357,1.106,4.46,Main Sequence
5587,0.819,0.99,5.03,Main Sequence
3826,200000.0,19.0,-6.93,Hypergiant
3365,340000.0,23.0,-6.2,Hypergiant
3270,150000.0,88.0,-6.02,Hypergiant
3200,195000.0,17.0,-7.22,Hypergiant
3008,280000.0,25.0,-6.0,Hypergiant
3600,320000.0,29.0,-6.6,Hypergiant
3575,123000.0,45.0,-6.78,Hypergiant
3574,200000.0,89.0,-5.24,Hypergiant
3625,184000.0,84.0,-6.74,Hypergiant
33750,220000.0,26.0,-6.1,Hypergiant
3490,270000.0,1520.0,-9.4,Supergiant
3750,283000.0,1260.0,-7.63,Supergiant
